,url,date,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,average_token_length,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,global_subjectivity,global_sentiment_polarity,title_subjectivity,title_sentiment_polarity,abs_title_sentiment_polarity,abs_title_subjectivity,data_channel_is_politics,data_channel_is_business,data_channel_is_living,data_channel_is_style,data_channel_is_entertainment,data_channel_is_other,PERSON,ORGANIZATION,LOCATION,O,likes
17,http://www.huffingtonpost.ca/2015/09/30/living-room-decor_n_8216240.html,2015/09/30,10,955,0.475392670157,0.889341085271,0.30890052356,299,43,1,4.38429319372,0,0,1,0,0,0,0,0,0.508385028488,0.236909224796,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,6
18,http://www.huffingtonpost.ca/2015/09/30/marco-muzzo-mom-dawn-driving_n_8220822.html,2015/09/30,13,386,0.362694300518,0.886990801577,0.251295336788,289,49,1,4.90932642487,0,0,1,0,0,0,0,0,0.423484848485,-0.0166666666667,0.4,-0.2,0.2,0.4,0,0,0,0,0,1,0,0,0,0,542
19,http://www.huffingtonpost.ca/2015/09/30/mcdonald-s-canada-introducing-new-self-serve-options-and-table-service_n_8223080.html,2015/09/30,13,263,0.399239543726,0.894957983193,0.285171102662,280,48,2,4.97718631179,0,0,1,0,0,0,0,0,0.35325311943,0.147593582888,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,8
20,http://www.huffingtonpost.ca/2015/09/30/most-dangerous-celeb-search-online_n_8221566.html,2015/09/30,10,3471,0.337366753097,0.888888888889,0.231633535004,294,45,3,4.77816191299,0,0,1,0,0,0,0,0,0.426502917372,0.202673829793,0.7,-0.05,0.05,0.7,0,0,1,0,0,0,0,0,0,0,1
21,http://www.huffingtonpost.ca/2015/09/30/ndp-radio-attack-ads-trudeau_n_8221808.html,2015/09/30,12,7098,0.258241758242,0.884934426989,0.193434770358,303,47,2,5.07114680192,0,0,1,0,0,0,0,0,0.307773363001,0.0732690163372,0.454545454545,0.136363636364,0.136363636364,0.454545454545,1,0,0,0,0,0,0,0,0,0,271
22,http://www.huffingtonpost.ca/2015/09/30/out-for-a-rip-blue-jays_n_8223558.html,2015/09/30,11,845,0.185798816568,0.870912951168,0.132544378698,291,47,2,4.54082840237,0,0,1,0,0,0,0,0,0.326361289313,0.0744445313722,0.05,0.0,0.0,0.05,0,0,0,0,0,1,0,0,0,0,3
23,http://www.huffingtonpost.ca/2015/09/30/police-report-a-pot-possession-incident-every-9-minutes-in-canada_n_8219186.html,2015/09/30,11,1737,0.47898675878,0.879766895001,0.320092112838,292,47,1,4.62348877375,0,0,1,0,0,0,0,0,0.326147028154,-0.00982610252683,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,81
24,http://www.huffingtonpost.ca/2015/09/30/toronto-cop-pleads-not-guilty-in-death-of-18-year-old-on-streetcar_n_8222532.html,2015/09/30,12,863,0.314020857474,0.880732139343,0.263035921205,281,45,2,4.80533024334,0,0,1,0,0,0,0,0,0.250793650794,0.0415343915344,0.5,0.125,0.125,0.5,0,0,0,0,0,1,0,0,0,0,2
25,http://www.huffingtonpost.ca/2015/09/30/trudeau-promises-four-year-3b-investment-in-home-care-mental-health_n_8221180.html,2015/09/30,12,7377,0.269621797479,0.886227677582,0.202521350142,295,45,3,5.1001762234,0,0,1,0,0,0,0,0,0.318378291108,0.08217803326,0.2,-0.1,0.1,0.2,1,0,0,0,0,0,0,0,0,0,353
26,http://www.huffingtonpost.ca/2015/09/30/watch-john-chen-blackberry-priv-demo_n_8222420.html,2015/09/30,13,983,0.358087487284,0.888018112156,0.278738555443,307,58,0,4.81383519837,0,0,1,0,0,0,0,0,0.434717341482,0.180518843901,0.727272727273,-0.231818181818,0.231818181818,0.727272727273,0,1,0,0,0,0,0,0,0,0,12
27,http://www.huffingtonpost.ca/2015/09/30/willow-smith-modelling-contract_n_8221752.html,2015/09/30,10,416,0.189903846154,0.8728,0.141826923077,289,47,0,4.92788461538,0,0,1,0,0,0,0,0,0.315945165945,0.117343073593,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,3
