,url,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,global_subjectivity,global_sentiment_polarity,title_subjectivity,title_sentiment_polarity,data_channel_is_politics,data_channel_is_business,data_channel_is_living,data_channel_is_style,data_channel_is_entertainment,data_channel_is_other,likes
103,http://www.huffingtonpost.ca/2015/09/20/greens-file-complaint-to-cra-in-bid-to-get-elizabeth-may-into-munk-debate_n_8166226.html,14,6643,0.000602137588439,0.885005191081,0.000602137588439,290,45,8,0,5.0730091826,0,0,0,0,0,0,1,1,0.305455337691,0.0592419856832,0.25,-0.25,1,0,0,0,0,0,2935
104,http://www.huffingtonpost.ca/2015/09/21/elementary-teachers-say-they-didn-t-get-same-offer-as-high-school-colleagues_n_8170860.html,13,1095,0.00182648401826,0.879831012361,0.00182648401826,283,45,8,0,4.73333333333,1,0,0,0,0,0,0,0,0.591983953129,0.149049335872,0.521666666667,0.153333333333,1,0,0,0,0,0,13
105,http://www.huffingtonpost.ca/2015/09/21/strategic-voting-2015-election-canada_n_8171660.html,11,7149,0.00027975940691,0.885885332719,0.00027975940691,310,52,9,0,5.0686809344,1,0,0,0,0,0,0,0,0.349870902907,0.0797427076891,0.4,0.1,1,0,0,0,0,0,1231
106,http://www.huffingtonpost.ca/2015/09/22/encana-natural-gas-well-blowout_n_8177082.html,8,1429,0.0132960111966,0.889244485084,0.0132960111966,281,45,7,0,5.07277816655,0,1,0,0,0,0,0,0,0.379166666667,-0.031875,0.4,0.1,0,0,0,0,0,1,203
107,http://www.huffingtonpost.ca/2015/09/22/kevin-hart-david-beckham-hm_n_8178966.html,11,172,0.0290697674419,0.882703777336,0.0290697674419,299,52,6,0,4.83720930233,0,1,0,0,0,0,0,0,0.413914656772,0.108936301793,0.454545454545,0.136363636364,0,0,0,1,0,0,5
108,http://www.huffingtonpost.ca/2015/09/22/susan-truppe-conservative-huron-college_n_8179642.html,10,6882,0.000581226387678,0.885426323421,0.000581226387678,312,54,7,0,5.10665504214,0,1,0,0,0,0,0,0,0.316018860189,0.0755782522111,0.0,0.0,1,0,0,0,0,0,4131
109,http://www.huffingtonpost.ca/2015/09/23/alberta-gas-well-blowout_n_8185374.html,7,1286,0.00933125972006,0.886746987952,0.00933125972006,290,48,8,0,5.07465007776,0,0,1,0,0,0,0,0,0.371455938697,-0.0450670498084,0.0,0.0,0,0,0,0,0,1,246
110,http://www.huffingtonpost.ca/2015/09/23/derek-saretzky-trial-hear_n_8185722.html,10,685,0.0175182481752,0.900213827512,0.0175182481752,287,49,8,0,5.04087591241,0,0,1,0,0,0,0,0,0.449251674252,-0.0578125578126,0.0,0.0,0,0,0,0,0,1,52
111,http://www.huffingtonpost.ca/2015/09/23/diy-halloween-costumes-kids_n_7026530.html,8,93,0.0215053763441,0.885906040268,0.0215053763441,300,45,7,0,5.38709677419,0,0,1,0,0,0,0,0,0.633333333333,0.287083333333,0.0,0.0,0,0,0,0,0,1,7731
112,http://www.huffingtonpost.ca/2015/09/23/gerard-macintosh_n_8184950.html,13,2555,0.00900195694716,0.88775785358,0.00900195694716,292,45,10,0,4.80039138943,0,0,1,0,0,0,0,0,0.423683542007,0.154164657698,0.2,-0.2,0,0,0,0,0,1,229
113,http://www.huffingtonpost.ca/2015/09/23/moringa-recipes_n_8184442.html,7,760,0.0210526315789,0.884860921113,0.0210526315789,283,30,7,0,4.76842105263,0,0,1,0,0,0,0,0,0.427701465201,0.205346736597,0.0,0.0,0,0,1,0,0,0,143
114,http://www.huffingtonpost.ca/2015/09/23/ryan-reynolds-ikea-crib_n_8183622.html,9,552,0.00724637681159,0.881045751634,0.00724637681159,299,47,12,0,4.50905797101,0,0,1,0,0,0,0,0,0.584372208479,0.313393909331,0.5,0.0625,0,0,0,0,0,1,673
115,http://www.huffingtonpost.ca/2015/09/23/saskatoon-nurses-swarmed-by-men-while-walking-to-parked-cars-after-night-shift_n_8186440.html,10,408,0.0196078431373,0.894568690096,0.0196078431373,278,43,8,0,4.95588235294,0,0,1,0,0,0,0,0,0.559530812325,0.126442577031,0.0,0.0,0,0,0,0,0,1,181
116,http://www.huffingtonpost.ca/2015/09/23/strategic-voting-group-releases-new-riding-polls-but-hard-data-remains-elusive_n_8183234.html,9,7269,0.00371440363186,0.886473159251,0.00371440363186,303,48,10,0,5.12230017884,0,0,1,0,0,0,0,0,0.338798724424,0.0763710479335,0.0,0.0,1,0,0,0,0,0,464
117,http://www.huffingtonpost.ca/2015/09/24/alberta-tourism-marketing_n_8192474.html,8,1582,0.0246523388116,0.891368559239,0.0246523388116,296,49,6,0,4.77433628319,0,0,0,1,0,0,0,0,0.446843165127,0.153749919235,0.508333333333,-0.325,0,0,0,0,0,1,230
118,http://www.huffingtonpost.ca/2015/09/24/canada-healthiest-places_n_8186292.html,10,520,0.00769230769231,0.884186351706,0.00769230769231,298,37,8,0,4.85769230769,0,0,0,1,0,0,0,0,0.359228294228,0.115630630631,0.0,0.0,0,0,1,0,0,0,852
119,http://www.huffingtonpost.ca/2015/09/24/canada-s-mayors-call-on-federal-parties-to-make-housing-a-campaign-issue_n_8191014.html,10,2899,0.00137978613315,0.895054147594,0.00137978613315,290,37,9,0,5.17143842704,0,0,0,1,0,0,0,0,0.447399505257,0.19158914215,0.0,0.0,1,0,0,0,0,0,161
120,http://www.huffingtonpost.ca/2015/09/24/costumes-couples-halloween_n_8191098.html,6,1553,0.00965872504829,0.876574598405,0.00965872504829,296,48,7,0,4.51191242756,0,0,0,1,0,0,0,0,0.513554526749,0.138811756231,0.0,0.0,0,0,1,0,0,0,6
121,http://www.huffingtonpost.ca/2015/09/24/dalai-lama-women-attractive_n_8186726.html,15,786,0.0139949109415,0.886054054054,0.0139949109415,306,45,8,0,4.88167938931,0,0,0,1,0,0,0,0,0.54379476584,0.264350550964,0.5,0.416666666667,0,0,1,0,0,0,1929
122,http://www.huffingtonpost.ca/2015/09/24/healthy-weight-loss_n_8190408.html,10,1060,0.0179245283019,0.888391524918,0.0179245283019,275,29,6,0,4.94528301887,0,0,0,1,0,0,0,0,0.453917952652,0.156367963963,0.4,0.75,0,0,1,0,0,0,142
123,http://www.huffingtonpost.ca/2015/09/24/jason-moors-edmonton_n_8189794.html,9,1316,0.0129179331307,0.865404168785,0.0129179331307,279,43,7,0,4.93541033435,0,0,0,1,0,0,0,0,0.309099453178,0.0522442469811,0.833333333333,0.5,0,0,0,0,0,1,495
124,http://www.huffingtonpost.ca/2015/09/24/man-braids_n_8191172.html,11,331,0.0181268882175,0.850737463127,0.0181268882175,331,46,6,0,4.11480362538,0,0,0,1,0,0,0,0,0.503073593074,0.218547077922,0.0,0.0,0,0,0,1,0,0,8781
125,http://www.huffingtonpost.ca/2015/09/24/novartis-developing-count_n_8193140.html,13,890,0.0269662921348,0.898251748252,0.0269662921348,288,42,7,0,5.34719101124,0,0,0,1,0,0,0,0,0.375604296066,0.0791589026915,0.0,0.0,0,1,0,0,0,0,978
126,http://www.huffingtonpost.ca/2015/09/24/pregnant-halloween-costumes_n_7026262.html,9,184,0.0108695652174,0.883198562444,0.0108695652174,313,49,7,0,5.03804347826,0,0,0,1,0,0,0,0,0.476388888889,0.528645833333,0.5,0.416666666667,0,0,0,0,0,1,1109
127,http://www.huffingtonpost.ca/2015/09/24/robert-williams-medicine-hat_n_8192270.html,10,1852,0.0048596112311,0.851029436787,0.0048596112311,281,43,7,0,5.30831533477,0,0,0,1,0,0,0,0,0.320428571429,0.0683392857143,0.0,0.0,0,0,0,0,0,1,89
128,http://www.huffingtonpost.ca/2015/09/24/top-democratic-organizer-praises-mulcair-says-only-he-can-beat-harper_n_8187786.html,11,7066,0.00254741013303,0.886019858946,0.00254741013303,294,49,10,0,5.08434757996,0,0,0,1,0,0,0,0,0.330838500839,0.0823218795094,0.75,0.25,1,0,0,0,0,0,2282
129,http://www.huffingtonpost.ca/2015/09/24/toronto-blue-jays-playoff-tickets_n_8191096.html,9,924,0.00865800865801,0.876911600149,0.00865800865801,289,49,7,0,4.69805194805,0,0,0,1,0,0,0,0,0.338860705267,0.0384898088023,0.1,0.0,0,0,0,0,0,1,13
130,http://www.huffingtonpost.ca/2015/09/24/toronto-closer-to-free-public-wifi_n_8189960.html,14,297,0.016835016835,0.883458646617,0.016835016835,295,45,7,0,5.26262626263,0,0,0,1,0,0,0,0,0.397573260073,0.118133949384,0.288888888889,0.133333333333,0,1,0,0,0,0,948
131,http://www.huffingtonpost.ca/2015/09/25/baby-dancing-the-weeknd_n_8196542.html,9,1518,0.0125164690382,0.887674418605,0.0125164690382,285,45,6,0,4.64163372859,0,0,0,0,1,0,0,1,0.449622212521,0.194148723883,0.9,0.0,0,0,0,0,0,1,595
132,http://www.huffingtonpost.ca/2015/09/25/egg-trick_n_8198074.html,12,1248,0.0272435897436,0.884900125716,0.0272435897436,284,45,7,0,4.7171474359,0,0,0,0,1,0,0,1,0.556754791103,0.210544274566,0.461538461538,-0.230769230769,0,0,1,0,0,0,98
133,http://www.huffingtonpost.ca/2015/09/25/fuel-focus-report-gas-prices-canada_n_8197798.html,10,596,0.0234899328859,0.89397260274,0.0234899328859,279,47,7,0,5.12080536913,0,0,0,0,1,0,0,1,0.346894409938,0.0321428571429,0.0,0.0,0,1,0,0,0,0,6145
134,http://www.huffingtonpost.ca/2015/09/25/girl-cries-pepsi_n_8197546.html,10,448,0.00446428571429,0.877354863514,0.00446428571429,291,47,6,0,4.77455357143,0,0,0,0,1,0,0,1,0.423032910242,0.167303433001,0.333333333333,0.25,0,0,1,0,0,0,222
